-0.193521,-0.184574,0.048630,-0.160977,A
-0.183752,-0.017951,-0.041216,-0.143335,A
-0.054161,0.171132,-0.184449,-0.156207,A
-0.236102,-0.130056,-0.202507,0.242370,A
-0.092722,0.244505,-0.185281,0.202000,A
0.003227,0.095287,0.081109,-0.114656,A
-0.133723,0.089730,-0.184287,-0.243383,A
0.135526,0.066520,-0.119943,0.010171,A
0.204957,-0.110545,-0.188090,-0.041381,A
-0.166230,-0.065946,-0.233689,0.131871,A
0.153237,-0.063176,-0.061235,-0.121248,A
0.226940,0.188870,0.081197,-0.162524,A
-0.163818,0.133651,-0.155123,0.094273,A
-0.039481,-0.234473,-0.151163,0.206671,A
-0.088818,0.087320,0.130812,-0.050710,A
-0.000437,0.180089,0.113508,0.010477,A
0.022331,-0.025878,-0.036736,0.085515,A
-0.128193,0.182751,-0.102821,-0.134338,A
0.231843,-0.242445,-0.046445,0.026285,A
-0.030073,0.164752,0.086763,0.002131,A
-0.248221,0.242325,-0.067260,-0.070089,A
-0.140205,-0.151774,-0.198687,-0.184318,A
0.086249,-0.101866,0.005426,0.076291,A
-0.213948,0.130006,-0.152878,0.152420,A
0.193942,-0.024476,-0.090245,0.002968,A
0.200042,0.239338,0.107973,-0.049547,A
-0.049934,0.098541,-0.085056,0.144677,A
-0.078990,0.037925,0.009994,0.012666,A
0.170795,0.195199,0.140403,0.072036,A
-0.051665,-0.054021,-0.019522,0.174715,A
0.117865,-0.204469,-0.128148,-0.219061,A
-0.097901,0.163706,0.063296,-0.239037,A
0.125061,0.058288,-0.011920,-0.234581,A
-0.241607,-0.214435,0.188098,-0.045516,A
-0.221154,0.156491,-0.008222,-0.078847,A
-0.053520,-0.146455,-0.232591,0.144141,A
0.191682,-0.074679,0.037860,0.184421,A
-0.237774,0.249272,-0.192127,-0.063585,A
-0.218637,-0.149319,-0.170135,-0.121990,A
-0.024227,0.068335,-0.001814,0.119622,A
0.222741,-0.139271,-0.070354,0.042278,A
-0.147932,-0.230746,0.165366,0.005050,A
-0.063918,0.073285,-0.111761,-0.064163,A
-0.175394,-0.036010,-0.090865,0.025024,A
0.187498,0.142404,0.080055,0.042829,A
0.181462,-0.167167,0.225559,-0.169682,A
0.189959,-0.002839,0.101951,0.238624,A
-0.232467,-0.090925,-0.187621,-0.094508,A
-0.124294,0.079901,0.168601,-0.120587,A
-0.045594,-0.191251,-0.208881,-0.169015,A
-0.218312,0.170569,-0.103150,0.092144,A
0.133082,-0.129479,-0.022289,0.064157,A
